,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,preserved 0,ax_01_0_imshow_row,ax_01_0_imshow_col,ax_01_0_imshow_value,ax_02_0_imshow_row,ax_02_0_imshow_col,ax_02_0_imshow_value,ax_04_0_bar_x,ax_04_0_bar_y,ax_05_0_bar_x,ax_05_0_bar_y
188,,,,,3,38,0.0026262403,NONE_STR,3,38,0.0011671782,3,38,-0.0014590621,,,,
189,,,,,3,39,0.0027944446,NONE_STR,3,39,0.0014369488,3,39,-0.0013574958,,,,
190,,,,,3,40,0.0034481287,NONE_STR,3,40,0.0009715557,3,40,-0.002476573,,,,
191,,,,,3,41,0.003706634,NONE_STR,3,41,0.0016306639,3,41,-0.0020759702,,,,
192,,,,,3,42,0.0032500625,NONE_STR,3,42,0.0013250709,3,42,-0.0019249916,,,,
193,,,,,3,43,0.0031753182,NONE_STR,3,43,0.0009834766,3,43,-0.0021918416,,,,
194,,,,,3,44,0.0035058856,NONE_STR,3,44,0.001600802,3,44,-0.0019050837,,,,
195,,,,,3,45,0.0035832524,NONE_STR,3,45,0.0025067925,3,45,-0.0010764599,,,,
196,,,,,3,46,0.0034187436,NONE_STR,3,46,0.013410032,3,46,0.009991288,,,,
197,,,,,3,47,0.0033506155,NONE_STR,3,47,0.0009789467,3,47,-0.0023716688,,,,
198,,,,,3,48,0.003027916,NONE_STR,3,48,0.0011325479,3,48,-0.0018953681,,,,
199,,,,,3,49,0.0028136969,NONE_STR,3,49,0.0012801886,3,49,-0.0015335083,,,,
200,,,,,4,0,0.001557827,NONE_STR,4,0,0.00048434734,4,0,-0.0010734797,,,,
201,,,,,4,1,0.0012646914,NONE_STR,4,1,0.00207752,4,1,0.00081282854,,,,
202,,,,,4,2,0.0009281635,NONE_STR,4,2,0.00047522783,4,2,-0.0004529357,,,,
203,,,,,4,3,0.0017353892,NONE_STR,4,3,0.00085157156,4,3,-0.0008838177,,,,
204,,,,,4,4,0.0020921826,NONE_STR,4,4,0.0006478429,4,4,-0.0014443398,,,,
205,,,,,4,5,0.001546979,NONE_STR,4,5,0.0007593632,4,5,-0.0007876158,,,,
206,,,,,4,6,0.0010277629,NONE_STR,4,6,0.001110673,4,6,8.291006e-05,,,,
207,,,,,4,7,0.0010959506,NONE_STR,4,7,0.0005965233,4,7,-0.0004994273,,,,
208,,,,,4,8,0.0011022091,NONE_STR,4,8,0.0004634261,4,8,-0.000638783,,,,
209,,,,,4,9,0.001994729,NONE_STR,4,9,0.00066536665,4,9,-0.0013293624,,,,
210,,,,,4,10,0.0027042627,NONE_STR,4,10,0.001437068,4,10,-0.0012671947,,,,
211,,,,,4,11,0.0033958554,NONE_STR,4,11,0.00029695034,4,11,-0.003098905,,,,
212,,,,,4,12,0.0025910735,NONE_STR,4,12,0.033335388,4,12,0.030744314,,,,
213,,,,,4,13,0.0019240975,NONE_STR,4,13,0.010128021,4,13,0.008203924,,,,
214,,,,,4,14,0.0012936592,NONE_STR,4,14,0.0009415746,4,14,-0.00035208464,,,,
215,,,,,4,15,0.00174582,NONE_STR,4,15,0.0011261702,4,15,-0.0006196499,,,,
216,,,,,4,16,0.0018281341,NONE_STR,4,16,0.007017255,4,16,0.005189121,,,,
217,,,,,4,17,0.0015261173,NONE_STR,4,17,0.00090003014,4,17,-0.0006260872,,,,
218,,,,,4,18,0.0023862123,NONE_STR,4,18,0.0013386011,4,18,-0.0010476112,,,,
219,,,,,4,19,0.0019034743,NONE_STR,4,19,0.0010088086,4,19,-0.0008946657,,,,
220,,,,,4,20,0.00360322,NONE_STR,4,20,0.0011785626,4,20,-0.0024246573,,,,
221,,,,,4,21,0.0026940107,NONE_STR,4,21,0.00065016747,4,21,-0.0020438433,,,,
222,,,,,4,22,0.0023617744,NONE_STR,4,22,0.0005556345,4,22,-0.00180614,,,,
223,,,,,4,23,0.002947688,NONE_STR,4,23,0.0012075901,4,23,-0.001740098,,,,
224,,,,,4,24,0.0032067895,NONE_STR,4,24,0.0065203905,4,24,0.003313601,,,,
225,,,,,4,25,0.0025414824,NONE_STR,4,25,0.0015843511,4,25,-0.0009571314,,,,
226,,,,,4,26,0.0024769902,NONE_STR,4,26,0.004420638,4,26,0.0019436479,,,,
227,,,,,4,27,0.0044389367,NONE_STR,4,27,0.0004413128,4,27,-0.003997624,,,,
