,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,ax_02_0_bar_x,ax_02_0_bar_y,ax_03_0_hist_x
2440,24,40,0.0016956727,,,0.0016956727
2441,24,41,0.0012230277,,,0.0012230277
2442,24,42,0.0015602311,,,0.0015602311
2443,24,43,0.002604127,,,0.002604127
2444,24,44,0.003866156,,,0.003866156
2445,24,45,0.00498579,,,0.00498579
2446,24,46,0.0056728325,,,0.0056728325
2447,24,47,0.0058831973,,,0.0058831973
2448,24,48,0.005669534,,,0.005669534
2449,24,49,0.004993757,,,0.004993757
2450,24,50,0.004131635,,,0.004131635
2451,24,51,0.003252089,,,0.003252089
2452,24,52,0.0024386048,,,0.0024386048
2453,24,53,0.0018338561,,,0.0018338561
2454,24,54,0.0015452107,,,0.0015452107
2455,24,55,0.0015978416,,,0.0015978416
2456,24,56,0.0019855301,,,0.0019855301
2457,24,57,0.002443254,,,0.002443254
2458,24,58,0.002709806,,,0.002709806
2459,24,59,0.0027831595,,,0.0027831595
2460,24,60,0.0029387474,,,0.0029387474
2461,24,61,0.0031846166,,,0.0031846166
2462,24,62,0.0034666262,,,0.0034666262
2463,24,63,0.0038187108,,,0.0038187108
2464,24,64,0.0041834516,,,0.0041834516
2465,24,65,0.0047359667,,,0.0047359667
2466,24,66,0.00562799,,,0.00562799
2467,24,67,0.006382088,,,0.006382088
2468,24,68,0.004861375,,,0.004861375
2469,24,69,0.0026257436,,,0.0026257436
2470,24,70,0.0014807185,,,0.0014807185
2471,24,71,0.0010394454,,,0.0010394454
2472,24,72,0.0008818905,,,0.0008818905
2473,24,73,0.0008256833,,,0.0008256833
2474,24,74,0.00081102055,,,0.00081102055
2475,24,75,0.00082202756,,,0.00082202756
2476,24,76,0.0008542141,,,0.0008542141
2477,24,77,0.0008999507,,,0.0008999507
2478,24,78,0.0009393891,,,0.0009393891
2479,24,79,0.0009537538,,,0.0009537538
2480,24,80,0.00094509125,,,0.00094509125
2481,24,81,0.00092953444,,,0.00092953444
2482,24,82,0.0009165009,,,0.0009165009
2483,24,83,0.00090169907,,,0.00090169907
2484,24,84,0.0008782546,,,0.0008782546
2485,24,85,0.0008486907,,,0.0008486907
2486,24,86,0.0008229415,,,0.0008229415
2487,24,87,0.0008088748,,,0.0008088748
2488,24,88,0.00080883503,,,0.00080883503
2489,24,89,0.0008251071,,,0.0008251071
2490,24,90,0.000858744,,,0.000858744
2491,24,91,0.0009511113,,,0.0009511113
2492,24,92,0.0012264848,,,0.0012264848
2493,24,93,0.0021045408,,,0.0021045408
2494,24,94,0.003782193,,,0.003782193
2495,24,95,0.004275819,,,0.004275819
2496,24,96,0.0037486157,,,0.0037486157
2497,24,97,0.0029352903,,,0.0029352903
2498,24,98,0.0018850565,,,0.0018850565
2499,24,99,0.0013806622,,,0.0013806622
2500,25,0,0.0010417502,,,0.0010417502
2501,25,1,0.00081501406,,,0.00081501406
2502,25,2,0.000587523,,,0.000587523
2503,25,3,0.00052797794,,,0.00052797794
2504,25,4,0.00052811706,,,0.00052811706
2505,25,5,0.00049450004,,,0.00049450004
2506,25,6,0.000460883,,,0.000460883
2507,25,7,0.0004804532,,,0.0004804532
2508,25,8,0.00044554472,,,0.00044554472
2509,25,9,0.00035109124,,,0.00035109124
2510,25,10,0.000288864,,,0.000288864
2511,25,11,0.0003876686,,,0.0003876686
2512,25,12,0.0006750425,,,0.0006750425
2513,25,13,0.0012600621,,,0.0012600621
2514,25,14,0.0020443797,,,0.0020443797
2515,25,15,0.0027742586,,,0.0027742586
2516,25,16,0.0031688015,,,0.0031688015
2517,25,17,0.0031220517,,,0.0031220517
2518,25,18,0.0027751527,,,0.0027751527
2519,25,19,0.0022681355,,,0.0022681355
2520,25,20,0.0017491182,,,0.0017491182
2521,25,21,0.0014092525,,,0.0014092525
2522,25,22,0.0011625688,,,0.0011625688
2523,25,23,0.0010107359,,,0.0010107359
2524,25,24,0.0009382367,,,0.0009382367
2525,25,25,0.000996093,,,0.000996093
2526,25,26,0.0010537108,,,0.0010537108
2527,25,27,0.0009943446,,,0.0009943446
2528,25,28,0.0007803639,,,0.0007803639
2529,25,29,0.0005411705,,,0.0005411705
2530,25,30,0.00049485767,,,0.00049485767
2531,25,31,0.0008132061,,,0.0008132061
2532,25,32,0.0014391344,,,0.0014391344
2533,25,33,0.002217134,,,0.002217134
2534,25,34,0.0029599469,,,0.0029599469
2535,25,35,0.003526946,,,0.003526946
2536,25,36,0.0038080812,,,0.0038080812
2537,25,37,0.003816565,,,0.003816565
2538,25,38,0.0036418042,,,0.0036418042
2539,25,39,0.0031224887,,,0.0031224887
2540,25,40,0.0022684536,,,0.0022684536
2541,25,41,0.0014795661,,,0.0014795661
2542,25,42,0.0013851325,,,0.0013851325
2543,25,43,0.0020480156,,,0.0020480156
2544,25,44,0.0030261874,,,0.0030261874
2545,25,45,0.003957033,,,0.003957033
2546,25,46,0.0045422316,,,0.0045422316
2547,25,47,0.0047240457,,,0.0047240457
2548,25,48,0.004574637,,,0.004574637
2549,25,49,0.004068534,,,0.004068534
2550,25,50,0.0034089684,,,0.0034089684
2551,25,51,0.0027353566,,,0.0027353566
2552,25,52,0.0021089118,,,0.0021089118
2553,25,53,0.0016589364,,,0.0016589364
2554,25,54,0.0014906129,,,0.0014906129
2555,25,55,0.0016515057,,,0.0016515057
2556,25,56,0.0021377802,,,0.0021377802
2557,25,57,0.002636989,,,0.002636989
2558,25,58,0.0029371977,,,0.0029371977
2559,25,59,0.00304391,,,0.00304391
2560,25,60,0.003206114,,,0.003206114
2561,25,61,0.0034309826,,,0.0034309826
2562,25,62,0.003696879,,,0.003696879
2563,25,63,0.0040720506,,,0.0040720506
2564,25,64,0.0045245094,,,0.0045245094
2565,25,65,0.005244732,,,0.005244732
2566,25,66,0.006268879,,,0.006268879
2567,25,67,0.0069492063,,,0.0069492063
2568,25,68,0.0051463246,,,0.0051463246
2569,25,69,0.002662162,,,0.002662162
2570,25,70,0.0013749003,,,0.0013749003
